DATE,HOUST
1959-01-01,4944
1959-04-01,4591
1959-07-01,4517
1959-10-01,4372
1960-01-01,4072
1960-04-01,3807
1960-07-01,3638
1960-10-01,3555
1961-01-01,3721
1961-04-01,3776
1961-07-01,4076
1961-10-01,4165
1962-01-01,4082
1962-04-01,4411
1962-07-01,4291
1962-10-01,4719
1963-01-01,4234
1963-04-01,4918
1963-07-01,5016
1963-10-01,4892
1964-01-01,4940
1964-04-01,4465
1964-07-01,4586
1964-10-01,4494
1965-01-01,4217
1965-04-01,4404
1965-07-01,4443
1965-10-01,4568
1966-01-01,4142
1966-04-01,3811
1966-07-01,3251
1966-10-01,2794
1967-01-01,3246
1967-04-01,3643
1967-07-01,4192
1967-10-01,4337
1968-01-01,4366
1968-04-01,4367
1968-07-01,4563
1968-10-01,4747
1969-01-01,5035
1969-04-01,4635
1969-07-01,4233
1969-10-01,3937
1970-01-01,3709
1970-04-01,3939
1970-07-01,4450
1970-10-01,5120
1971-01-01,5479
1971-04-01,6061
1971-07-01,6282
1971-10-01,6605
1972-01-01,7218
1972-04-01,6724
1972-07-01,7115
1972-10-01,7272
1973-01-01,7135
1973-04-01,6417
1973-07-01,6048
1973-10-01,4927
1974-01-01,4758
1974-04-01,4546
1974-07-01,3608
1974-10-01,3071
1975-01-01,2929
1975-04-01,3213
1975-07-01,3750
1975-10-01,4025
1976-01-01,4326
1976-04-01,4349
1976-07-01,4671
1976-10-01,5074
1977-01-01,5533
1977-04-01,5756
1977-07-01,6027
1977-10-01,6226
1978-01-01,5488
1978-04-01,6342
1978-07-01,6058
1978-10-01,6119
1979-01-01,4997
1979-04-01,5537
1979-07-01,5370
1979-10-01,4703
1980-01-01,3738
1980-04-01,3174
1980-07-01,4176
1980-10-01,4515
1981-01-01,4099
1981-04-01,3545
1981-07-01,2892
1981-10-01,2620
1982-01-01,2640
1982-04-01,2844
1982-07-01,3356
1982-10-01,3848
1983-01-01,4891
1983-04-01,4981
1983-07-01,5405
1983-10-01,5188
1984-01-01,5820
1984-04-01,5468
1984-07-01,5016
1984-10-01,4891
1985-01-01,5143
1985-04-01,5177
1985-07-01,5103
1985-10-01,5474
1986-01-01,5696
1986-04-01,5634
1986-07-01,5276
1986-10-01,5137
1987-01-01,5284
1987-04-01,4836
1987-07-01,4875
1987-10-01,4571
1988-01-01,4276
1988-04-01,4472
1988-07-01,4452
1988-10-01,4654
1989-01-01,4468
1989-04-01,4067
1989-07-01,4038
1989-10-01,4012
1990-01-01,4277
1990-04-01,3637
1990-07-01,3396
1990-10-01,3128
1991-01-01,2684
1991-04-01,3033
1991-07-01,3127
1991-10-01,3261
1992-01-01,3723
1992-04-01,3458
1992-07-01,3551
1992-10-01,3685
1993-01-01,3503
1993-04-01,3798
1993-07-01,3897
1993-10-01,4301
1994-01-01,4173
1994-04-01,4400
1994-07-01,4363
1994-10-01,4416
1995-01-01,3972
1995-04-01,3862
1995-07-01,4246
1995-10-01,4252
1996-01-01,4382
1996-04-01,4487
1996-07-01,4504
1996-10-01,4251
1997-01-01,4298
1997-04-01,4428
1997-07-01,4373
1997-10-01,4596
1998-01-01,4676
1998-04-01,4717
1998-07-01,4894
1998-10-01,5167
1999-01-01,5128
1999-04-01,4723
1999-07-01,4952
1999-10-01,4964
2000-01-01,4977
2000-04-01,4760
2000-07-01,4511
2000-10-01,4632
2001-01-01,4815
2001-04-01,4890
2001-07-01,4799
2001-10-01,4710
2002-01-01,5169
2002-04-01,5073
2002-07-01,5092
2002-10-01,5189
2003-01-01,5208
2003-04-01,5261
2003-07-01,5669
2003-10-01,6107
2004-01-01,5755
2004-04-01,5812
2004-07-01,5931
2004-10-01,5896
2005-01-01,6215
2005-04-01,6154
2005-07-01,6300
2005-10-01,6206
2006-01-01,6361
2006-04-01,5565
2006-07-01,5107
2006-10-01,4710
2007-01-01,4384
2007-04-01,4353
2007-07-01,3867
2007-10-01,3498
2008-01-01,3192
2008-04-01,3032
2008-07-01,2587
2008-10-01,1989
2009-01-01,1577
2009-04-01,1603
2009-07-01,1765
2009-10-01,1703
2010-01-01,1854
2010-04-01,1806
2010-07-01,1739
2010-10-01,1627
2011-01-01,1747
2011-04-01,1723
2011-07-01,1858
2011-10-01,2015
2012-01-01,2122
2012-04-01,2218
2012-07-01,2341
2012-10-01,2724
2013-01-01,2860.0
2013-04-01,2604.0
2013-07-01,2647.0
2013-10-01,3027.0
2014-01-01,2802.0
2014-04-01,2961.0
2014-07-01,3092.0
2014-10-01,3148.0
2015-01-01,2931.0
2015-04-01,3474.0
2015-07-01,3500.0
2015-10-01,3376.0
2016-01-01,3428.0
2016-04-01,3514.0
2016-07-01,3478.0
2016-10-01,3705.0
2017-01-01,3651.0
2017-04-01,3552.0
2017-07-01,3546.0
2017-10-01,3707.0
2018-01-01,3894.0
2018-04-01,3825.0
2018-07-01,3746.0
2018-10-01,3497.0
2019-01-01,3555.0
2019-04-01,3802.0
2019-07-01,3912.0
2019-10-01,4229.0
2020-01-01,4404.0
2020-04-01,3245.0
2020-07-01,4369.0
2020-10-01,4745.0
2021-01-01,4724.0
2021-04-01,4745.0
2021-07-01,4729.0
2021-10-01,5071.0
2022-01-01,5153.0
2022-04-01,4907.0
2022-07-01,4339.0
2022-10-01,4216.0
2023-01-01,4156.0
2023-04-01,4349.0
2023-07-01,4112.0
2023-10-01,4450.0
2024-01-01,.
